problem_index,problem_id,rtllm_path,top_module,workflow,model,skill,spec_path,rtl_path,rtl_archived,gen_status,vcs_compile,vcs_sim,sim_message,notes,updated_at
1,accu,Arithmetic/Accumulator/accu,accu,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/accu/workflow_a/accu.v,experiments/artifacts/accu/workflow_a/accu.v,archived,pass,pass,pass,,2026-06-23T04:35:10Z
2,adder_16bit,Arithmetic/Adder/adder_16bit,adder_16bit,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/adder_16bit/workflow_a/adder_16bit.v,experiments/artifacts/adder_16bit/workflow_a/adder_16bit.v,archived,pass,pass,pass,,2026-06-23T04:36:15Z
3,adder_32bit,Arithmetic/Adder/adder_32bit,adder_32bit,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/adder_32bit/workflow_a/adder_32bit.v,experiments/artifacts/adder_32bit/workflow_a/adder_32bit.v,archived,pass,pass,pass,,2026-06-23T04:37:23Z
4,adder_8bit,Arithmetic/Adder/adder_8bit,adder_8bit,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/adder_8bit/workflow_a/adder_8bit.v,experiments/artifacts/adder_8bit/workflow_a/adder_8bit.v,archived,pass,pass,pass,,2026-06-23T04:38:48Z
5,adder_bcd,Arithmetic/Adder/adder_bcd,adder_bcd,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/adder_bcd/workflow_a/adder_bcd.v,experiments/artifacts/adder_bcd/workflow_a/adder_bcd.v,archived,pass,pass,pass,,2026-06-23T04:40:42Z
6,adder_pipe_64bit,Arithmetic/Adder/adder_pipe_64bit,adder_pipe_64bit,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/adder_pipe_64bit/workflow_a/adder_pipe_64bit.v,experiments/artifacts/adder_pipe_64bit/workflow_a/adder_pipe_64bit.v,archived,pass,pass,pass,,2026-06-23T04:44:25Z
7,comparator_3bit,Arithmetic/Comparator/comparator_3bit,comparator_3bit,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/comparator_3bit/workflow_a/comparator_3bit.v,experiments/artifacts/comparator_3bit/workflow_a/comparator_3bit.v,archived,pass,pass,pass,,2026-06-23T04:46:01Z
8,comparator_4bit,Arithmetic/Comparator/comparator_4bit,comparator_4bit,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/comparator_4bit/workflow_a/comparator_4bit.v,experiments/artifacts/comparator_4bit/workflow_a/comparator_4bit.v,archived,pass,pass,pass,,2026-06-23T04:47:23Z
9,div_16bit,Arithmetic/Divider/div_16bit,div_16bit,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/div_16bit/workflow_a/div_16bit.v,experiments/artifacts/div_16bit/workflow_a/div_16bit.v,archived,pass,pass,pass,,2026-06-23T04:49:51Z
10,radix2_div,Arithmetic/Divider/radix2_div,radix2_div,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/radix2_div/workflow_a/radix2_div.v,experiments/artifacts/radix2_div/workflow_a/radix2_div.v,archived,pass,fail,"Error: dividend=255, divisor=  7, expected=0324, got=0100",,2026-06-23T07:51:16Z
10,radix2_div,Arithmetic/Divider/radix2_div,radix2_div,b,,rtl-pipeline-workflow-b,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/radix2_div/workflow_b/radix2_div.v,experiments/artifacts/radix2_div/workflow_b/radix2_div.v,archived,pass,pass,pass,,2026-06-23T13:32:44Z
11,multi_16bit,Arithmetic/Multiplier/multi_16bit,multi_16bit,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/multi_16bit/workflow_a/multi_16bit.v,experiments/artifacts/multi_16bit/workflow_a/multi_16bit.v,archived,pass,pass,pass,,2026-06-23T08:00:06Z
12,multi_8bit,Arithmetic/Multiplier/multi_8bit,multi_8bit,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/multi_8bit/workflow_a/multi_8bit.v,experiments/artifacts/multi_8bit/workflow_a/multi_8bit.v,archived,pass,pass,pass,,2026-06-23T08:01:52Z
13,multi_booth_8bit,Arithmetic/Multiplier/multi_booth_8bit,multi_booth_8bit,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/multi_booth_8bit/workflow_a/multi_booth_8bit.v,experiments/artifacts/multi_booth_8bit/workflow_a/multi_booth_8bit.v,archived,pass,pass,pass,,2026-06-23T08:03:22Z
14,multi_pipe_4bit,Arithmetic/Multiplier/multi_pipe_4bit,multi_pipe_4bit,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/multi_pipe_4bit/workflow_a/multi_pipe_4bit.v,experiments/artifacts/multi_pipe_4bit/workflow_a/multi_pipe_4bit.v,archived,pass,pass,pass,,2026-06-23T08:17:27Z
15,multi_pipe_8bit,Arithmetic/Multiplier/multi_pipe_8bit,multi_pipe_8bit,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/multi_pipe_8bit/workflow_a/multi_pipe_8bit.v,experiments/artifacts/multi_pipe_8bit/workflow_a/multi_pipe_8bit.v,archived,pass,pass,pass,,2026-06-23T08:07:58Z
16,fixed_point_adder,Arithmetic/Other/fixed_point_adder,fixed_point_adder,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/fixed_point_adder/workflow_a/fixed_point_adder.v,experiments/artifacts/fixed_point_adder/workflow_a/fixed_point_adder.v,archived,pass,pass,pass,,2026-06-23T08:10:53Z
17,fixed_point_substractor,Arithmetic/Other/fixed_point_substractor,fixed_point_subtractor,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/fixed_point_substractor/workflow_a/fixed_point_subtractor.v,experiments/artifacts/fixed_point_substractor/workflow_a/fixed_point_subtractor.v,archived,pass,pass,pass,,2026-06-23T08:15:47Z
18,float_multi,Arithmetic/Other/float_multi,float_multi,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/float_multi/workflow_a/float_multi.v,experiments/artifacts/float_multi/workflow_a/float_multi.v,archived,pass,pass,pass,,2026-06-23T08:19:35Z
19,sub_64bit,Arithmetic/Substractor/sub_64bit,sub_64bit,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/sub_64bit/workflow_a/sub_64bit.v,experiments/artifacts/sub_64bit/workflow_a/sub_64bit.v,archived,pass,pass,pass,,2026-06-23T08:21:09Z
20,JC_counter,Control/Counter/JC_counter,JC_counter,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/JC_counter/workflow_a/JC_counter.v,experiments/artifacts/JC_counter/workflow_a/JC_counter.v,archived,pass,pass,pass,,2026-06-23T08:22:49Z
24,fsm,Control/Finite State Machine/fsm,fsm,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/fsm/workflow_a/fsm.v,experiments/artifacts/fsm/workflow_a/fsm.v,archived,pass,pass,pass,,2026-06-23T08:26:52Z
26,asyn_fifo,Memory/FIFO/asyn_fifo,asyn_fifo,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/asyn_fifo/workflow_a/asyn_fifo.v,experiments/artifacts/asyn_fifo/workflow_a/asyn_fifo.v,archived,fail,skip,1 warning 1 error CPU time: .140 seconds to compile ,,2026-06-23T08:31:22Z
26,asyn_fifo,Memory/FIFO/asyn_fifo,asyn_fifo,b,,rtl-pipeline-workflow-b,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/asyn_fifo/workflow_b/asyn_fifo.v,experiments/artifacts/asyn_fifo/workflow_b/asyn_fifo.v,archived,pass,fail,===========Error===========,,2026-06-23T14:34:47Z
27,LIFObuffer,Memory/LIFO/LIFObuffer,LIFObuffer,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/LIFObuffer/workflow_a/LIFObuffer.v,experiments/artifacts/LIFObuffer/workflow_a/LIFObuffer.v,archived,fail,skip,1 warning 1 error CPU time: .154 seconds to compile ,archive_run: no rtl file,2026-06-23T09:36:22Z
28,LFSR,Memory/Shifter/LFSR,LFSR,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/LFSR/workflow_a/LFSR.v,experiments/artifacts/LFSR/workflow_a/LFSR.v,archived,pass,pass,pass,,2026-06-23T09:32:58Z
27,LIFObuffer,Memory/LIFO/LIFObuffer,LIFObuffer,b,,rtl-pipeline-workflow-b,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/LIFObuffer/workflow_b/LIFObuffer.v,experiments/artifacts/LIFObuffer/workflow_b/LIFObuffer.v,archived,pass,pass,pass,archive_run: no rtl file,2026-06-23T14:39:48Z
29,barrel_shifter,Memory/Shifter/barrel_shifter,barrel_shifter,b,,rtl-pipeline-workflow-b,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/barrel_shifter/workflow_b/barrel_shifter.v,experiments/artifacts/barrel_shifter/workflow_b/barrel_shifter.v,archived,pass,fail,=========== Test completed with           1 failures ===========,archive_run: no rtl file,2026-06-23T14:47:18Z
28,LFSR,Memory/Shifter/LFSR,LFSR,b,,rtl-pipeline-workflow-b,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/LFSR/workflow_b/LFSR.v,experiments/artifacts/LFSR/workflow_b/LFSR.v,archived,fail,skip,3 warnings 1 error CPU time: .214 seconds to compile ,,2026-06-23T14:41:18Z
29,barrel_shifter,Memory/Shifter/barrel_shifter,barrel_shifter,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/barrel_shifter/workflow_a/barrel_shifter.v,experiments/artifacts/barrel_shifter/workflow_a/barrel_shifter.v,archived,pass,fail,=========== Test completed with           1 failures ===========,,2026-06-23T09:48:31Z
30,right_shifter,Memory/Shifter/right_shifter,right_shifter,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/right_shifter/workflow_a/right_shifter.v,experiments/artifacts/right_shifter/workflow_a/right_shifter.v,archived,pass,pass,pass,,2026-06-23T10:01:54Z
31,freq_div,Miscellaneous/Frequency divider/freq_div,freq_div,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/freq_div/workflow_a/freq_div.v,experiments/artifacts/freq_div/workflow_a/freq_div.v,archived,pass,pass,pass,,2026-06-23T10:02:22Z
32,freq_divbyeven,Miscellaneous/Frequency divider/freq_divbyeven,freq_divbyeven,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/freq_divbyeven/workflow_a/freq_divbyeven.v,experiments/artifacts/freq_divbyeven/workflow_a/freq_divbyeven.v,archived,pass,fail,=========== Test completed with          11/20 failures ===========,,2026-06-23T10:02:52Z
33,freq_divbyfrac,Miscellaneous/Frequency divider/freq_divbyfrac,freq_divbyfrac,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/freq_divbyfrac/workflow_a/freq_divbyfrac.v,experiments/artifacts/freq_divbyfrac/workflow_a/freq_divbyfrac.v,archived,pass,fail,=========== Test completed with          10/20 failures ===========,,2026-06-23T10:03:40Z
34,freq_divbyodd,Miscellaneous/Frequency divider/freq_divbyodd,freq_divbyodd,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/freq_divbyodd/workflow_a/freq_divbyodd.v,experiments/artifacts/freq_divbyodd/workflow_a/freq_divbyodd.v,archived,pass,fail,=========== Test completed with           9/20 failures ===========,,2026-06-23T10:04:10Z
35,calendar,Miscellaneous/Others/calendar,calendar,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/calendar/workflow_a/calendar.v,experiments/artifacts/calendar/workflow_a/calendar.v,archived,pass,pass,pass,,2026-06-23T10:04:36Z
36,edge_detect,Miscellaneous/Others/edge_detect,edge_detect,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/edge_detect/workflow_a/edge_detect.v,experiments/artifacts/edge_detect/workflow_a/edge_detect.v,archived,pass,pass,pass,,2026-06-23T10:05:03Z
37,parallel2serial,Miscellaneous/Others/parallel2serial,parallel2serial,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/parallel2serial/workflow_a/parallel2serial.v,experiments/artifacts/parallel2serial/workflow_a/parallel2serial.v,archived,pass,pass,pass,,2026-06-23T10:05:40Z
38,pulse_detect,Miscellaneous/Others/pulse_detect,pulse_detect,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/pulse_detect/workflow_a/pulse_detect.v,experiments/artifacts/pulse_detect/workflow_a/pulse_detect.v,archived,pass,fail,===========Error===========,,2026-06-23T10:06:21Z
39,serial2parallel,Miscellaneous/Others/serial2parallel,serial2parallel,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/serial2parallel/workflow_a/serial2parallel.v,experiments/artifacts/serial2parallel/workflow_a/serial2parallel.v,archived,pass,pass,pass,,2026-06-23T10:09:00Z
40,synchronizer,Miscellaneous/Others/synchronizer,synchronizer,a,,rtl-workflow-a,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/synchronizer/workflow_a/synchronizer.v,experiments/artifacts/synchronizer/workflow_a/synchronizer.v,archived,pass,pass,pass,,2026-06-23T10:08:54Z
30,right_shifter,Memory/Shifter/right_shifter,right_shifter,b,,rtl-pipeline-workflow-b,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/right_shifter/workflow_b/right_shifter.v,experiments/artifacts/right_shifter/workflow_b/right_shifter.v,archived,pass,pass,pass,,2026-06-23T14:43:05Z
31,freq_div,Miscellaneous/Frequency divider/freq_div,freq_div,b,,rtl-pipeline-workflow-b,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/freq_div/workflow_b/freq_div.v,experiments/artifacts/freq_div/workflow_b/freq_div.v,archived,pass,pass,pass,,2026-06-23T10:12:07Z
32,freq_divbyeven,Miscellaneous/Frequency divider/freq_divbyeven,freq_divbyeven,b,,rtl-pipeline-workflow-b,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/freq_divbyeven/workflow_b/freq_divbyeven.v,experiments/artifacts/freq_divbyeven/workflow_b/freq_divbyeven.v,archived,pass,pass,pass,,2026-06-23T13:33:07Z
33,freq_divbyfrac,Miscellaneous/Frequency divider/freq_divbyfrac,freq_divbyfrac,b,,rtl-pipeline-workflow-b,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/freq_divbyfrac/workflow_b/freq_divbyfrac.v,experiments/artifacts/freq_divbyfrac/workflow_b/freq_divbyfrac.v,archived,pass,pass,pass,,2026-06-23T13:33:11Z
34,freq_divbyodd,Miscellaneous/Frequency divider/freq_divbyodd,freq_divbyodd,b,,rtl-pipeline-workflow-b,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/freq_divbyodd/workflow_b/freq_divbyodd.v,experiments/artifacts/freq_divbyodd/workflow_b/freq_divbyodd.v,archived,pass,pass,pass,,2026-06-23T13:33:17Z
35,calendar,Miscellaneous/Others/calendar,calendar,b,,rtl-pipeline-workflow-b,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/calendar/workflow_b/calendar.v,experiments/artifacts/calendar/workflow_b/calendar.v,archived,pass,pass,pass,,2026-06-23T10:14:26Z
36,edge_detect,Miscellaneous/Others/edge_detect,edge_detect,b,,rtl-pipeline-workflow-b,spec/design.spec.txt,/home/jasonpan/final_genrtl/myProject_GENRTL/experiments/artifacts/edge_detect/workflow_b/edge_detect.v,experiments/artifacts/edge_detect/workflow_b/edge_detect.v,archived,pass,pass,pass,,2026-06-23T10:14:59Z
